bstart,bend,receptor,protein,site,library,experiment,pdb,gpf,dpf,program,align,res,md,alt,cx,cy,cz,sx,sy,sz,flex,status
347,347,xEBGP-L_rig.pdbqt,GP,L,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,119.792,109.41,44.37,15,16,19,xEBGP-L_flx.pdbqt,W
348,348,xMBGP-FA_rig.pdbqt,GP,FA,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,120.392,114.116,44.424,15,22,20,xMBGP-FA_flx.pdbqt,W
349,349,xMBGP-L_rig.pdbqt,GP,L,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,119.792,109.41,44.37,15,16,19,xMBGP-L_flx.pdbqt,W
350,350,xSDGP-FA_rig.pdbqt,GP,FA,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,120.392,114.116,44.424,15,22,20,xSDGP-FA_flx.pdbqt,W
351,351,xSDGP-L_rig.pdbqt,GP,L,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,119.792,109.41,44.37,15,16,19,xSDGP-L_flx.pdbqt,W
352,352,xZAGP-FA_rig.pdbqt,GP,FA,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,120.392,114.116,44.424,15,22,20,xZAGP-FA_flx.pdbqt,W
353,353,xZAGP-L_rig.pdbqt,GP,L,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,119.792,109.41,44.37,15,16,19,xZAGP-L_flx.pdbqt,W
354,354,xEBGP-F_rig.pdbqt,GP,F,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,108.247,44.31,31,35,25,xEBGP-F_flx.pdbqt,W
355,355,xEBGP-OM_rig.pdbqt,GP,OM,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,xEBGP-OM_flx.pdbqt,W
356,356,xMBGP-F_rig.pdbqt,GP,F,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,108.247,44.31,31,35,25,xMBGP-F_flx.pdbqt,W
357,357,xMBGP-OM_rig.pdbqt,GP,OM,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,xMBGP-OM_flx.pdbqt,W
358,358,xSDGP-F_rig.pdbqt,GP,F,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,108.247,44.31,31,35,25,xSDGP-F_flx.pdbqt,W
359,359,xSDGP-OM_rig.pdbqt,GP,OM,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,xSDGP-OM_flx.pdbqt,W
360,360,xZAGP-F_rig.pdbqt,GP,F,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,108.247,44.31,31,35,25,xZAGP-F_flx.pdbqt,W
361,361,xZAGP-OM_rig.pdbqt,GP,OM,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,xZAGP-OM_flx.pdbqt,W
362,362,xEBGP-FW_rig.pdbqt,GP,FW,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,106.803,44.922,15,20,17,xEBGP-FW_flx.pdbqt,W
363,363,xEBGP-S_rig.pdbqt,GP,S,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116,113,43.5,30,35,25,xEBGP-S_flx.pdbqt,W
364,364,xMBGP-FW_rig.pdbqt,GP,FW,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,106.803,44.922,15,20,17,xMBGP-FW_flx.pdbqt,W
365,365,xMBGP-S_rig.pdbqt,GP,S,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116,113,43.5,30,35,25,xMBGP-S_flx.pdbqt,W
366,366,xSDGP-FW_rig.pdbqt,GP,FW,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,106.803,44.922,15,20,17,xSDGP-FW_flx.pdbqt,W
367,367,xSDGP-S_rig.pdbqt,GP,S,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116,113,43.5,30,35,25,xSDGP-S_flx.pdbqt,W
368,368,xZAGP-FW_rig.pdbqt,GP,FW,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,106.803,44.922,15,20,17,xZAGP-FW_flx.pdbqt,W
369,369,xZAGP-S_rig.pdbqt,GP,S,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116,113,43.5,30,35,25,xZAGP-S_flx.pdbqt,W
370,373,xEBGP-FA_rig.pdbqt,GP,FA,OT,13,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,120.392,114.116,44.424,15,22,20,xEBGP-FA_flx.pdbqt,W
374,377,xEBGP-L_rig.pdbqt,GP,L,OT,13,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,119.792,109.41,44.37,15,16,19,xEBGP-L_flx.pdbqt,W
378,381,xMBGP-FA_rig.pdbqt,GP,FA,OT,13,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,120.392,114.116,44.424,15,22,20,xMBGP-FA_flx.pdbqt,W
382,385,xMBGP-L_rig.pdbqt,GP,L,OT,13,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,119.792,109.41,44.37,15,16,19,xMBGP-L_flx.pdbqt,W
386,389,xSDGP-FA_rig.pdbqt,GP,FA,OT,13,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,120.392,114.116,44.424,15,22,20,xSDGP-FA_flx.pdbqt,W
390,393,xSDGP-L_rig.pdbqt,GP,L,OT,13,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,119.792,109.41,44.37,15,16,19,xSDGP-L_flx.pdbqt,W
394,397,xZAGP-FA_rig.pdbqt,GP,FA,OT,13,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,120.392,114.116,44.424,15,22,20,xZAGP-FA_flx.pdbqt,W
398,401,xZAGP-L_rig.pdbqt,GP,L,OT,13,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,119.792,109.41,44.37,15,16,19,xZAGP-L_flx.pdbqt,W
402,405,xEBGP-F_rig.pdbqt,GP,F,OT,13,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,108.247,44.31,31,35,25,xEBGP-F_flx.pdbqt,W
406,409,xEBGP-OM_rig.pdbqt,GP,OM,OT,13,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,xEBGP-OM_flx.pdbqt,W
410,413,xMBGP-F_rig.pdbqt,GP,F,OT,13,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,108.247,44.31,31,35,25,xMBGP-F_flx.pdbqt,W
414,417,xMBGP-OM_rig.pdbqt,GP,OM,OT,13,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,xMBGP-OM_flx.pdbqt,W
418,421,xSDGP-F_rig.pdbqt,GP,F,OT,13,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,108.247,44.31,31,35,25,xSDGP-F_flx.pdbqt,W
422,425,xSDGP-OM_rig.pdbqt,GP,OM,OT,13,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,xSDGP-OM_flx.pdbqt,W
426,429,xZAGP-F_rig.pdbqt,GP,F,OT,13,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,108.247,44.31,31,35,25,xZAGP-F_flx.pdbqt,W
430,433,xZAGP-OM_rig.pdbqt,GP,OM,OT,13,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,xZAGP-OM_flx.pdbqt,W
434,437,xEBGP-FW_rig.pdbqt,GP,FW,OT,13,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,106.803,44.922,15,20,17,xEBGP-FW_flx.pdbqt,W
