bstart,bend,receptor,protein,site,library,experiment,pdb,gpf,dpf,program,align,res,md,alt,cx,cy,cz,sx,sy,sz,flex,status
906885,906900,x4DQC-B-AS.pdbqt,PR,AS,VM,165,4DQC,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906901,906916,x4DQE-A-AS.pdbqt,PR,AS,VM,165,4DQE,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906917,906932,x4DQE-B-AS.pdbqt,PR,AS,VM,165,4DQE,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906933,906948,x4DQF-A-AS.pdbqt,PR,AS,VM,165,4DQF,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906949,906964,x4DQF-B-AS.pdbqt,PR,AS,VM,165,4DQF,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906965,906980,x4DQG-AS.pdbqt,PR,AS,VM,165,4DQG,none,none,V,masterpr_ref.pdb,1,none,none,0,5.5,0,30,22,25,none,W
906981,906996,x4DQH-A-AS.pdbqt,PR,AS,VM,165,4DQH,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906997,907012,x4DQH-B-AS.pdbqt,PR,AS,VM,165,4DQH,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
907013,907028,x4E43-A-AS.pdbqt,PR,AS,VM,165,4E43,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
907029,907044,x4E43-B-AS.pdbqt,PR,AS,VM,165,4E43,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
907045,907060,x4EJ8-A-AS.pdbqt,PR,AS,VM,165,4EJ8,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
907061,907076,x4EJ8-B-AS.pdbqt,PR,AS,VM,165,4EJ8,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
907077,907092,x4EJD-A-AS.pdbqt,PR,AS,VM,165,4EJD,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
907093,907108,x4EJD-B-AS.pdbqt,PR,AS,VM,165,4EJD,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
907109,907124,x4EJK-A-AS.pdbqt,PR,AS,VM,165,4EJK,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
907125,907140,x4EJK-B-AS.pdbqt,PR,AS,VM,165,4EJK,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
907141,907156,x4EJL-A-AS.pdbqt,PR,AS,VM,165,4EJL,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
907157,907172,x4EJL-B-AS.pdbqt,PR,AS,VM,165,4EJL,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
907173,907188,x4EP3-A-AS.pdbqt,PR,AS,VM,165,4EP3,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
907189,907204,x4EP3-B-AS.pdbqt,PR,AS,VM,165,4EP3,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
907205,907220,x4EPJ-A-AS.pdbqt,PR,AS,VM,165,4EPJ,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
907221,907236,x4EPJ-B-AS.pdbqt,PR,AS,VM,165,4EPJ,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
907237,907252,x4EQ0-A-AS.pdbqt,PR,AS,VM,165,4EQ0,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
907253,907268,x4EQ0-B-AS.pdbqt,PR,AS,VM,165,4EQ0,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
907269,907284,x4EQJ-A-AS.pdbqt,PR,AS,VM,165,4EQJ,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
907285,907300,x4EQJ-B-AS.pdbqt,PR,AS,VM,165,4EQJ,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
907301,907316,x4F73-A-AS.pdbqt,PR,AS,VM,165,4F73,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
907317,907332,x4F73-B-AS.pdbqt,PR,AS,VM,165,4F73,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
907333,907348,x4F74-AS.pdbqt,PR,AS,VM,165,4F74,none,none,V,masterpr_ref.pdb,1,none,none,0,5.5,0,30,22,25,none,W
907349,907364,x4F75-A-AS.pdbqt,PR,AS,VM,165,4F75,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
